MDTU,S_B
914,0.523126
916,0.555049
918,0.561363
920,0.565933
922,0.530854
924,0.530854
926,0.535667
928,0.518559
930,0.531044
932,0.54171
934,0.533022
936,0.510683
938,0.544682
940,0.540156
942,0.543012
944,0.543012
946,0.543012
948,0.564519
950,0.529365
952,0.531548
954,0.518273
956,0.516467
958,0.520464
960,0.512699
962,0.513989
964,0.557454
966,0.530724
968,0.545161
970,0.553715
972,0.549637
974,0.56966
976,0.545936
978,0.5662
980,0.553963
982,0.536804
984,0.550764
986,0.564344
988,0.523713
990,0.506556
992,0.549784
994,0.549018
996,0.540635
998,0.547575
1000,0.566308
1002,0.558559
1004,0.560778
1006,0.529709
1008,0.540443
1010,0.548084
1012,0.56493
1014,0.525557
1016,0.529519
1018,0.544781
1020,0.547108
1022,0.524661
1024,0.542708
1026,0.571172
1028,0.571172
1030,0.536318
1032,0.536318
1034,0.536832
1036,0.54025
1038,0.534487
1040,0.526462
1042,0.56501
1044,0.552044
1046,0.566207
1048,0.529259
1050,0.54615
1052,0.508169
1054,0.539836
1056,0.554592
1058,0.531402
1060,0.54814
1062,0.518643
1064,0.533054
1066,0.55437
1068,0.55437
1070,0.543831
1072,0.552421
1074,0.533822
1076,0.533822
1078,0.544042
1080,0.5445
1082,0.535767
1084,0.526532
1086,0.565898
1088,0.565898
1090,0.557735
1092,0.540881
1094,0.533801
1096,0.533801
1098,0.548717
1100,0.53778
1102,0.546149
1104,0.562568
1106,0.52212
1108,0.52212
1110,0.519821
1112,0.551751
1114,0.541993
1116,0.532329
1118,0.537438
1120,0.563347
1122,0.565229
1124,0.527561
1126,0.545573
1128,0.528753
1130,0.526162
1132,0.557155
1134,0.557155
1136,0.528888
1138,0.539538
1140,0.554452
1142,0.562417
1144,0.529327
1146,0.529327
1148,0.557167
1150,0.526022
1152,0.534091
1154,0.530702
1156,0.517245
1158,0.534437
1160,0.520594
1162,0.535026
1164,0.528747
1166,0.543729
1168,0.52701
1170,0.527414
1172,0.581112
1174,0.581112
1176,0.532053
1178,0.531179
1180,0.534104
1182,0.539697
1184,0.525999
1186,0.560259
1188,0.560259
1190,0.560259
1192,0.532154
1194,0.553943
1196,0.560546
1198,0.56457
1200,0.5578
1202,0.585762
1204,0.556364
1206,0.537324
1208,0.54177
1210,0.537987
1212,0.563863
1214,0.516304
1216,0.548626
1218,0.533176
1220,0.552496
1222,0.557392
1224,0.56917
1226,0.56917
1228,0.564853
1230,0.564853
1232,0.526513
1234,0.548338
1236,0.559315
1238,0.536784
1240,0.509946
1242,0.521024
1244,0.537907
1246,0.529037
1248,0.524069
1250,0.542174
1252,0.539989
1254,0.557297
1256,0.56078
1258,0.56412
1260,0.553284
1262,0.53659
1264,0.548112
1266,0.548112
1268,0.546478
1270,0.540728
1272,0.535973
1274,0.555016
1276,0.553289
1278,0.543761
1280,0.536182
1282,0.526185
1284,0.53923
1286,0.544381
1288,0.530853
1290,0.527751
1292,0.531378
1294,0.520283
1296,0.52913
1298,0.49651
1300,0.545339
1302,0.518567
1304,0.537337
1306,0.554426
1308,0.561888
1310,0.561888
1312,0.563403
1314,0.571691
1316,0.543844
1318,0.551655
1320,0.551655
1322,0.551655
1324,0.524168
1326,0.545743
1328,0.553948
1330,0.553484
1332,0.568222
1334,0.515869
1336,0.55869
1338,0.560914
1340,0.520025
1342,0.550733
1344,0.529201
1346,0.552387
1348,0.513187
1350,0.548232
1352,0.550437
1354,0.532288
1356,0.524058
1358,0.573145
1360,0.562073
1362,0.553446
1364,0.566711
1366,0.552948
1368,0.551795
1370,0.525407
1372,0.573911
1374,0.556771
1376,0.55217
1378,0.537292
1380,0.537428
1382,0.553074
1384,0.531339
1386,0.526298
1388,0.535674
1390,0.535674
1392,0.536042
1394,0.532156
1396,0.501233
1398,0.552621
1400,0.552621
1402,0.553466
1404,0.553466
1406,0.577326
1408,0.552908
1410,0.559716
1412,0.535887
1414,0.524697
1416,0.510578
1418,0.510578
1420,0.532865
1422,0.557392
1424,0.560565
1426,0.557212
1428,0.557212
1430,0.557212
1432,0.551465
1434,0.529723
1436,0.512496
1438,0.517007
1440,0.51807
1442,0.552007
1444,0.575595
1446,0.556392
1448,0.580523
1450,0.510985
1452,0.557642
1454,0.552549
1456,0.53528
1458,0.52058
1460,0.53291
1462,0.547858
1464,0.543817
1466,0.540028
1468,0.492822
1470,0.529005
1472,0.5356
1474,0.531097
1476,0.545614
1478,0.523088
1480,0.506679
1482,0.533779
1484,0.511413
1486,0.516892
1488,0.514178
1490,0.527827
1492,0.516257
1494,0.51958
1496,0.544856
1498,0.539451
1500,0.543285
1502,0.510302
1504,0.488738
1506,0.546425
1508,0.560176
1510,0.535637
1512,0.526594
1514,0.535855
1516,0.5178
1518,0.5192
1520,0.528607
1522,0.536774
1524,0.538073
1526,0.527719
1528,0.525793
1530,0.519399
1532,0.529855
1534,0.549107
1536,0.549107
1538,0.54374
1540,0.52425
1542,0.527038
1544,0.509777
1546,0.542629
1548,0.546447
1550,0.548752
1552,0.575985
1554,0.527532
1556,0.527532
1558,0.542299
1560,0.535482
1562,0.572593
1564,0.549763
1566,0.579493
1568,0.575523
1570,0.528482
1572,0.523154
1574,0.571952
1576,0.54215
1578,0.528346
1580,0.571963
1582,0.539126
1584,0.558309
1586,0.53322
1588,0.531953
1590,0.532168
1592,0.517655
1594,0.535807
1596,0.542508
1598,0.557162
1600,0.55345
1602,0.517969
1604,0.563391
1606,0.563391
1608,0.520062
1610,0.559976
1612,0.561771
1614,0.533202
1616,0.531883
1618,0.540595
1620,0.502383
1622,0.540042
1624,0.544275
1626,0.52616
1628,0.529763
1630,0.552015
1632,0.544667
1634,0.553096
1636,0.536304
1638,0.538788
1640,0.548189
1642,0.548189
1644,0.528143
1646,0.546027
1648,0.535695
1650,0.558606
1652,0.548112
1654,0.561991
1656,0.526864
1658,0.522754
1660,0.551367
1662,0.578752
1664,0.542994
1666,0.504727
1668,0.550052
1670,0.545423
1672,0.545423
1674,0.545423
1676,0.546765
1678,0.557719
1680,0.537092
1682,0.537092
1684,0.537092
1686,0.559702
1688,0.520811
1690,0.543555
1692,0.537496
1694,0.539009
1696,0.563929
1698,0.554495
1700,0.590434
1702,0.500253
1704,0.546546
1706,0.55305
1708,0.520955
1710,0.519774
1712,0.537378
1714,0.571188
1716,0.561964
1718,0.543361
1720,0.537127
1722,0.545343
1724,0.52911
1726,0.555876
1728,0.574923
1730,0.589054
1732,0.522706
1734,0.522706
1736,0.546463
1738,0.55224
1740,0.540709
1742,0.576568
1744,0.541116
1746,0.522058
1748,0.547373
1750,0.534921
1752,0.524528
1754,0.538391
1756,0.55128
1758,0.527722
1760,0.51778
1762,0.522775
1764,0.557455
1766,0.557455
1768,0.527833
1770,0.542812
1772,0.527438
1774,0.527438
1776,0.549299
1778,0.549299
1780,0.54503
1782,0.539638
1784,0.527504
1786,0.539262
1788,0.527068
1790,0.531257
1792,0.555614
1794,0.497158
1796,0.531211
1798,0.530785
1800,0.533638
1802,0.533638
1804,0.543006
1806,0.55478
1808,0.512205
1810,0.536036
1812,0.524787
1814,0.528851
1816,0.566724
1818,0.583234
1820,0.532367
1822,0.539603
1824,0.53268
1826,0.539526
1828,0.52569
1830,0.535903
1832,0.533852
1834,0.536426
1836,0.570495
1838,0.547977
1840,0.557294
1842,0.533877
1844,0.509984
1846,0.519841
1848,0.522824
1850,0.530828
1852,0.529907
1854,0.555755
1856,0.538142
1858,0.541023
1860,0.533952
1862,0.540939
1864,0.540925
1866,0.545894
1868,0.548842
1870,0.548842
1872,0.542017
1874,0.546944
1876,0.531586
1878,0.550824
1880,0.579504
1882,0.57868
1884,0.527681
1886,0.565501
1888,0.567469
1890,0.546771
1892,0.539041
1894,0.51422
1896,0.557012
1898,0.546043
1900,0.560589
1902,0.53306
1904,0.514876
1906,0.48187
1908,0.511398
1910,0.526003
1912,0.541408
1914,0.519752
1916,0.539076
1918,0.557737
1920,0.529981
1922,0.548275
1924,0.522183
1926,0.522183
1928,0.497193
1930,0.555855
1932,0.535054
1934,0.567731
1936,0.544196
1938,0.513949
1940,0.570107
1942,0.551233
1944,0.53486
1946,0.519644
1948,0.490794
1950,0.531117
1952,0.534748
1954,0.549385
1956,0.561912
1958,0.532695
1960,0.509764
1962,0.533731
1964,0.556353
1966,0.558973
1968,0.580075
1970,0.583069
1972,0.542778
1974,0.544685
1976,0.530499
1978,0.530906
1980,0.507801
1982,0.519462
1984,0.540075
1986,0.540075
1988,0.554669
1990,0.548423
1992,0.532403
1994,0.556318
1996,0.541654
1998,0.531437
2000,0.549688
