t,deltaS
432,-0.2478
433,-0.4433
434,0.2794
435,-0.3071
436,0.09643
437,0.1591
438,0.1775
439,-0.2162
440,0.06849
441,0.2569
442,0.04411
443,-0.3204
444,0.217
445,-0.3658
446,0.491
447,0.2137
448,-0.08664
449,0.4332
450,-0.2078
451,0.2467
452,-0.2041
453,0.02424
454,0.1114
455,0.1947
456,-0.35
457,0.1221
458,0.1654
459,-0.1615
460,-0.1061
461,0.1783
462,0.306
463,0.0773
464,0.000546
465,0.03899
466,-0.03876
467,0.111
468,-0.009494
469,-0.398
470,0.2234
471,-0.1551
472,0.1046
473,0.2529
474,-0.0771
475,0.2225
476,0.1311
477,0.1086
478,0.1114
479,-0.03877
480,0.2072
481,-0.337
482,-0.1833
483,0.006844
484,0.06778
485,0.1053
486,0.08216
487,-0.07809
488,-0.0441
489,0.00647
490,0.203
491,-0.03335
492,0.106
493,-0.2077
494,0.05068
495,0.4265
496,-0.3562
497,0.02953
498,0.1515
499,-0.1161
500,-0.3234
501,0.2142
502,0.02082
503,0.09594
504,0.1168
505,-0.05838
506,-0.3426
507,0.4652
508,-0.147
509,0.08228
510,-0.0818
511,0.04387
512,-0.119
513,-0.2012
514,0.3303
515,0.04113
516,0.4196
517,0.3061
518,-0.4459
519,0.2067
520,-0.05378
521,-0.2654
522,0.05461
523,-0.1866
524,-0.2946
525,0.1527
526,0.1795
527,0.3491
528,-0.07464
529,-0.09003
530,0.08097
531,0.01859
532,-0.2479
533,0.1373
534,0.3731
535,-0.1299
536,0.2496
537,-0.1773
538,0.3384
539,-0.1075
540,0.2691
541,-0.1522
542,-0.1752
543,-0.05833
544,0.2971
545,0.06177
546,0.1246
547,0.02654
548,0.3488
549,-0.02626
550,-0.2408
551,-0.08653
552,-0.4763
553,0.3845
554,0.1452
555,0.004811
556,-0.0449
557,0.01977
558,-0.0485
559,-0.3609
560,-0.01665
561,-0.05508
562,0.3903
563,-0.6486
564,0.06065
565,0.2664
566,0.01506
567,0.09457
568,-0.02912
569,0.01222
570,-0.2038
571,-0.01445
572,-0.06733
573,0.1203
574,0.1859
575,0.01316
576,-0.1434
577,-0.02115
578,0.2973
579,-0.2619
580,0.02169
581,0.1251
582,-0.162
583,-0.2751
584,0.1174
585,0.111
586,-0.4639
587,0.1901
588,0.22
589,0.02535
590,-0.009834
591,0.2989
592,-0.02663
593,-0.3043
594,0.1747
595,0.2281
596,0.05118
597,-0.1359
598,-0.2849
599,0.2978
600,-0.1067
601,-0.03218
602,0.1614
603,0.05144
604,-0.1334
605,0.2183
606,0.105
607,0.2298
608,-0.2092
609,-0.1361
610,0.2468
611,0.07833
612,-0.0999
613,0.1117
614,-0.0133
615,0.1929
616,-0.08883
617,-0.1776
618,-0.3065
619,-0.1104
620,0.3646
621,0.01284
622,-0.03233
623,0.2381
624,-0.2536
625,-0.1017
626,-0.1543
627,-0.1554
628,0.3151
629,-0.1142
630,0.07582
631,-0.06027
632,-0.2514
633,0.2387
634,0.04129
635,-0.02919
636,-0.003614
637,-0.2429
638,0.2672
639,0.04179
640,-0.08943
641,0.01283
642,-0.1271
643,-0.2167
644,-0.05181
645,0.01804
646,-0.1702
647,0.2043
648,-0.2227
649,0.06445
650,-0.01762
651,0.115
652,-0.2066
653,0.1149
654,-0.0752
655,0.4371
656,0.0511
657,-0.077
658,0.3058
659,-0.3439
660,0.1612
661,0.2352
662,0.1138
663,0.04259
664,-0.008796
665,0.1313
666,-0.00185
667,0.1286
668,-0.1762
669,-0.145
670,0.005457
671,0.05985
672,0.2527
673,-0.1676
674,0.4247
675,-0.4757
676,0.03802
677,0.4323
678,-0.2154
679,-0.1108
680,-0.3427
681,0.2014
682,0.2745
683,-0.09574
684,0.07489
685,-0.07359
686,-0.2169
687,0.1646
688,0.1287
689,-0.005343
690,0.01255
691,-0.03092
692,-0.07077
693,0.005587
694,0.2197
695,0.2594
696,-0.1723
697,-0.2542
698,0.3195
699,-0.3854
700,0.1551
701,-0.01239
702,0.4372
703,-0.1957
704,0.2965
705,0.009118
706,0.1397
707,0.1817
708,-0.02434
709,0.3454
710,-0.02297
711,-0.1825
712,-0.06042
713,-0.02173
714,0.1784
715,0.2531
716,0.2904
717,0.05751
718,0.2488
719,-0.02123
720,-0.2629
721,-0.2926
722,-0.07456
723,0.1497
724,-0.1759
725,0.619
726,-0.2657
727,-0.3176
728,0.1464
729,0.1962
730,0.09824
731,-0.2638
732,-0.004385
733,0.217
734,0.1174
735,-0.1392
736,0.4009
737,-0.146
738,-0.3723
739,0.237
740,-0.2157
741,-0.2183
742,-0.03816
743,0.1583
744,-0.07292
745,-0.1992
746,0.06308
747,-0.08431
748,-0.1192
749,0.1315
750,-0.05005
751,0.3301
752,0.1972
753,-0.04155
754,-0.4403
755,0.339
756,-0.155
757,-0.1865
758,0.1665
759,0.05728
760,-0.62
761,0.07221
762,0.06031
763,0.1753
764,-0.03346
765,-0.0659
766,-0.04306
767,-0.123
768,0.2614
769,0.1808
770,0.26
771,0.2391
772,-0.04496
773,-0.177
774,-0.2788
775,0.02504
776,-0.01693
777,0.07942
778,0.1758
779,-0.004618
780,-0.02125
781,-0.3075
782,-0.136
783,-0.1567
784,0.08725
785,0.2429
786,0.1805
787,-0.2164
788,0.0888
789,0.2624
790,-0.05053
791,0.2015
792,0.1273
793,-0.1456
794,0.3724
795,-0.08078
796,-0.2467
797,0.03207
798,-0.3273
799,0.1092
800,0.03623
801,0.1902
802,-0.1735
803,0.09697
804,-0.2907
805,0.04187
806,0.07058
807,-0.08848
808,0.1561
809,0.0632
810,0.08366
811,-0.06738
812,-0.08036
813,0.0471
814,-0.05995
815,0.01964
816,0.03108
817,0.01205
818,0.09206
819,-0.01086
820,-0.05139
821,0.1664
822,0.1619
823,-0.4291
824,0.1167
825,0.2588
826,0.004332
827,-0.1721
828,0.6002
829,-0.2251
830,0.1241
831,0.1232
832,0.1496
833,-0.08044
834,-0.354
835,0.1564
836,0.4095
837,0.1883
838,-0.06175
839,-0.1751
840,-0.009065
841,0.2003
842,0.199
843,0.01239
844,0.08722
845,0.06585
846,-0.1111
847,0.2454
848,-0.3223
849,0.004995
850,0.2126
851,0.4953
852,-0.3134
853,0.02961
854,0.2195
855,-0.3442
856,0.0313
857,-0.05288
858,0.06441
859,0.3001
860,-0.2333
861,-0.4551
862,0.2827
863,-0.1571
864,-0.1124
865,0.1465
866,0.1717
867,0.2036
868,0.1098
869,0.1095
870,0.008643
871,-0.1511
872,-0.007732
873,0.1633
874,-0.3812
875,-0.03401
876,0.2058
877,-0.2024
878,0.08169
879,0.2672
880,0.1939
881,-0.3193
882,-0.2141
883,0.363
884,0.1081
885,0.006284
886,-0.0379
887,0.3747
888,0.05953
889,0.2664
890,-0.1484
891,0.362
892,0.1323
893,-0.3388
894,0.3113
895,0.02071
896,0.1023
897,0.1417
898,-0.207
899,0.04368
900,-0.193
901,0.3345
902,-0.09923
903,0.1304
904,-0.008675
905,0.09826
