ReTr(L),ImTr(L)
0.211786,0.0613942
0.0534893,0.00625408
-0.157145,0.0707513
-0.0478045,0.00034918
-0.0105466,0.053499
-0.0216897,0.00647933
-0.0216897,0.00647933
0.0129112,0.0205995
-0.0481492,-0.0127145
-0.0496425,-0.098224
0.0178585,0.0749335
-0.109049,-0.000618793
-0.052935,-0.126949
0.0458693,-0.0935548
-0.047895,0.014546
0.0754018,-0.105973
0.0397812,0.00366248
0.0397812,0.00366248
0.0397812,0.00366248
0.0481745,-0.085799
0.109317,-0.163329
-0.0089694,-0.117103
-0.159713,0.0165368
0.0282428,-0.108191
0.0622468,0.116201
0.0609992,0.066761
0.0520043,0.0188571
0.0144183,-0.0459465
-0.145013,0.0758055
-0.154502,0.083569
-0.0458505,0.00996035
0.0436443,-0.0578092
0.0165989,0.108062
0.0932775,-0.0110917
0.0140616,-0.0337127
-0.0114065,0.0312875
-0.0611695,0.055758
0.0320385,0.0148503
-0.064417,0.00719455
-0.064417,0.00719455
0.133889,0.00956712
0.0668408,-0.0606703
0.0322607,0.022544
-0.0113789,-0.00413818
0.0706145,-0.0970445
-0.11167,0.054626
-0.0275232,0.0661517
0.038351,0.114449
-0.00614953,0.0423325
0.00508325,-0.0184015
0.0128563,0.105149
-0.0296268,0.0118087
-0.00286472,0.044029
0.079421,0.0291715
0.10233,0.0239117
0.0192035,0.042682
0.00109803,0.054971
0.00400455,0.00974253
-0.0740803,-0.00025534
0.0754062,-0.106853
0.0251378,0.0062872
-0.0294307,-0.000127331
0.0161112,0.00130126
-0.0845242,0.0841262
0.00203272,0.0588445
-0.00836928,-0.0297798
-0.075413,-0.0034331
-0.100144,0.0045303
-0.0191533,0.0650735
0.0731843,-0.0570193
0.124674,0.0362562
-0.00952975,-0.0064765
0.0806275,-0.123367
-0.066914,0.0488362
0.08563,-0.046816
-0.0855565,0.032055
-0.0151616,-0.00116467
-0.0151616,-0.00116467
-0.0479855,-0.0645888
-0.0627245,-0.0350777
0.122515,0.00887077
-0.0262295,0.1191
-0.0262295,0.1191
-0.035034,-0.0195915
0.0265475,-0.00342515
-0.130002,-0.0312967
-0.061519,0.000104389
-0.00790073,0.0303647
0.00559803,-0.115823
0.00559803,-0.115823
-0.0596525,0.0109441
-0.0269208,0.0109693
-0.0269208,0.0109693
0.0527697,0.0486365
0.0168173,-0.028884
0.0387238,0.0298025
0.00879105,-0.0611015
-0.0161709,0.0491333
-0.0395335,0.00378765
0.00940722,-0.091805
-0.0961185,-0.0188703
-0.083477,-0.07639
0.0194858,-0.142691
0.0438622,0.0336108
-0.00749425,0.0229345
-0.0210124,0.0122209
0.0752687,-0.0339822
-0.177042,0.098382
0.0109006,0.109984
-0.0431472,-0.0519097
-0.00544853,0.0204322
-0.0459053,0.129261
-0.00733527,0.0219487
-0.0750032,-0.0654872
0.0772898,-0.0145434
0.0263085,0.003985
0.0332332,-0.03249
0.0332332,-0.03249
0.0332332,-0.03249
0.037055,-0.073898
0.00749175,0.0357748
0.0243282,-0.159812
0.0216547,0.00254518
0.0286257,0.0683113
-0.00719263,-0.0749532
-0.0030339,0.067959
0.141475,0.0709445
-0.018744,-0.0135634
-0.0717235,0.00903415
0.0910232,0.0207623
-0.074033,-0.00646315
0.0962672,-0.0432307
0.00999617,0.037358
0.000507547,0.0675028
0.127562,-0.0616968
0.0498652,-0.0166352
-0.0439507,-0.0754202
-0.117615,0.0252437
0.0492648,0.0118005
0.00029511,-0.0597645
0.133107,0.00306243
0.133107,0.00306243
0.00935335,-0.171162
-0.050422,-0.00266123
-0.054389,-0.0273445
0.0673175,0.0677737
0.0673175,0.0677737
0.00365322,-0.00419865
-0.0227012,-0.00217081
0.033814,0.121274
0.0602997,-0.0189158
-0.00217691,-0.0515222
0.0487293,-0.0119156
-0.0103754,-0.00614422
0.0345015,0.064633
0.0255837,0.028263
-0.06356,0.0383515
0.00279235,-0.0201746
-0.085586,0.0301775
0.003468,-0.0707503
0.0769018,0.0594175
-0.0248719,-0.113408
-0.0645145,-0.0884435
-0.0289707,0.0453615
0.0369222,0.0610065
-0.052316,-0.0651955
0.0657568,0.012581
0.0419187,0.0236316
0.0419187,0.0236316
-0.00829418,-0.0461722
0.00210416,0.0808725
-0.0291873,0.0325582
-0.0916005,0.0107935
0.00614535,0.0703182
0.0547463,0.0542062
-0.0785732,-0.0830898
-0.0815523,0.0227765
-0.0790243,-0.0170945
0.0235599,-0.0274707
0.192039,-0.00973822
0.0230845,-0.0506545
0.00975035,-0.0175057
-0.0468462,0.0128708
0.0380335,-0.0125209
-0.0713378,-0.113461
0.0176066,-0.0859662
-0.0866325,-0.0366115
-0.0338403,0.00647737
-0.0538955,-0.076637
-0.0229889,-0.0818253
0.00367958,-0.0705645
0.0330643,0.0705743
0.044177,0.00916277
-0.0693895,-0.141311
-0.00056929,-0.052371
-0.128318,-0.0185101
-0.116153,0.186362
0.0669625,0.0481743
-0.0613957,0.0218873
-0.058402,0.0556525
-0.111469,-0.010336
0.0400325,0.0635938
-0.0449275,-0.059438
-0.0449275,-0.059438
-0.0449275,-0.059438
-0.0360123,-0.0063954
-0.088153,-0.000591305
-0.0744407,0.0159827
-0.0031395,0.0617495
0.018789,-0.149362
0.0690305,0.0030424
-0.0374147,-0.0668675
-0.0312515,0.0416205
0.140561,0.0501625
0.140561,0.0501625
-0.084764,-0.00657745
-0.0139993,-0.0752923
-0.0139993,-0.0752923
-0.006726,-0.0297117
0.0419625,0.0241019
0.0101305,0.0129879
-0.037336,-0.0204635
-0.0445118,0.0301667
-0.0239753,0.0309943
0.028122,0.059121
0.0053526,-0.113898
0.0053526,-0.113898
0.0386587,-0.0462468
-0.000124699,0.116427
-0.0621608,0.0962703
-0.048403,-0.0958175
0.087351,-0.000795407
-0.119347,-0.0207691
0.170689,0.0760388
-0.0724095,0.0134069
0.0427765,0.00885757
-0.138786,-0.0509815
0.0204663,0.065286
-0.00152691,0.0452575
-0.0196503,-0.0418297
0.0720713,0.00153257
-0.000863267,0.110392
0.0445057,-0.0551665
0.0487155,0.0134675
0.113075,-0.0382197
0.040213,-0.0235153
-0.0117687,-0.0273157
0.0207346,0.0343473
-0.0313455,-0.0153323
-0.0740617,-0.011315
-0.111652,-0.0241974
-0.0404827,-0.051002
0.0206257,0.0214929
-0.0409677,-0.196955
-0.0737218,-0.0813005
0.0884125,0.048926
-0.100443,0.100761
0.0132237,0.0308127
0.0132237,0.0308127
-0.04318,0.0359232
-0.04318,0.0359232
-0.0817787,0.13748
0.0090121,0.0569985
0.0090121,0.0569985
0.0090121,0.0569985
-0.0728503,0.0856062
-0.0244679,-0.0195689
0.0221254,-0.00413348
-0.0383928,-0.014378
0.0462755,-0.0540975
0.0180083,0.097576
0.0211224,-0.117582
0.126666,-0.0333058
0.126666,-0.0333058
-0.0713503,-0.00140628
-0.076318,-0.0219711
0.0246495,-0.054433
0.0717605,0.030462
-0.120664,-0.051361
-0.120664,-0.051361
0.0652805,0.086621
-0.0380677,-0.0609732
-0.0380677,-0.0609732
0.09718,-0.0155561
-0.22364,0.00675813
-0.0194116,-0.0419595
0.0643133,0.0275967
0.0595658,-0.126941
-0.00753498,0.115868
-0.0337445,-0.0143113
0.00197993,0.04539
0.0666527,-0.139288
-0.0225852,0.0289918
0.0096951,0.0607803
0.0925783,0.0374595
0.0132716,0.0463325
0.015669,-0.0248486
0.06495,0.0125237
-0.0808115,-0.0334555
-0.0808115,-0.0334555
-0.0179806,-0.0206626
-0.0179806,-0.0206626
-0.0179806,-0.0206626
-0.0906722,0.0108843
0.0327742,-0.0235177
-0.0899525,0.0689885
-0.0393092,0.034543
-0.0335387,0.0337932
0.0773278,-0.095377
-0.0104283,0.00865503
-0.052065,-0.141072
0.128569,-0.0167671
0.0446477,-0.100625
-0.0546623,0.066775
-0.023066,0.0243532
0.0039177,-0.00632577
-0.0639233,-0.034986
-0.0169794,0.00760813
0.00354875,0.0283093
0.0232574,-0.0593075
0.0232574,-0.0593075
-0.0762188,0.0400397
0.00711563,0.165483
-0.0720265,0.186264
-0.0199927,-0.00386252
0.0348417,-0.00318032
0.0407845,-0.0181047
0.108982,0.0428173
-0.00318255,0.0276573
-0.0876143,-0.0921042
-0.102746,0.144932
-0.089334,0.0412047
-0.0857653,0.0384728
-0.0285472,0.0191792
-0.00388368,-0.00346223
0.0265347,-0.0157545
-0.027449,-0.0292983
0.0393503,-0.100815
0.0731843,0.0979002
-0.0221897,-0.0576735
0.125756,0.121922
0.125756,0.121922
0.0975358,0.0324155
-0.076243,0.00199309
-0.0759985,0.0726905
-0.0505017,0.0292675
-0.0676885,0.0396282
0.0353477,-0.0540482
