MDTU,plaq,Re(det),Im(det),link
266,0.573129,0.00853754,0.00912285,1.10543
268,0.623198,0.00102573,0.00122025,1.08319
270,0.654493,0.00149733,0.00126278,1.10547
272,0.597907,0.00250536,0.0028453,1.10146
274,0.510636,0.00225579,0.00108306,1.09211
276,0.578074,0.00551448,0.00262103,1.13834
278,0.610061,0.0027736,0.00347596,1.10962
280,0.52307,0.00298219,0.00187983,1.07451
282,0.560571,0.00200563,0.00189789,1.01344
284,0.560571,0.00200563,0.00189789,1.01344
286,0.58664,0.00176584,0.000730966,1.057
288,0.682229,0.00267709,0.00161161,1.11179
290,0.792333,0.00211778,0.0013982,1.08141
292,0.470319,0.00111226,0.00131207,1.063
294,0.470319,0.00111226,0.00131207,1.063
296,0.650902,0.00188019,0.00164292,1.0643
298,0.545188,0.0011278,0.00114189,1.09242
300,0.663667,0.00186877,0.00295734,1.08712
302,0.447548,0.0039834,0.0016518,1.07359
304,0.603626,0.000667334,0.000875633,1.10464
306,0.549824,0.00180931,0.00145801,1.15215
308,0.568886,0.00386917,0.00228665,1.18437
310,0.526661,0.00195985,0.0021716,1.1423
312,0.575821,0.00354135,0.00300265,1.09595
314,0.531206,0.00105137,0.00144522,1.09799
316,0.639038,0.00296856,0.00171878,1.07607
318,0.60011,0.00276897,0.00470584,1.08321
320,0.712605,0.00495685,0.00397161,1.10613
322,0.60929,0.000885524,0.00160824,1.0224
324,0.609896,0.00255797,0.00187456,1.0529
326,0.582756,0.00101733,0.00124865,1.02676
328,0.665452,0.00173745,0.00208396,0.99619
330,0.587406,0.00167426,0.00190064,1.06235
332,0.687441,0.00267834,0.00221075,1.08517
334,0.649733,0.00200711,0.000847495,1.04882
336,0.695062,0.00207888,0.0031174,1.02771
338,0.695062,0.00207888,0.0031174,1.02771
340,0.641825,0.00137266,0.000910944,1.05359
342,0.540046,0.00114296,0.00152304,1.06274
344,0.641456,0.00567609,0.00482748,1.03469
346,0.794539,0.00489388,0.00195461,1.07395
348,0.588722,0.00146554,0.00114426,1.08469
350,0.700651,0.00399034,0.00225561,1.05814
352,0.6076,0.00195897,0.00240819,1.06097
354,0.65742,0.00151378,0.00153035,1.06816
356,0.5415,0.00370462,0.00180224,1.10712
358,0.569002,0.0022708,0.0030244,1.1049
360,0.639533,0.00109844,0.00165367,1.02156
362,0.526433,0.00101997,0.000960874,1.04486
364,0.61213,0.00149442,0.00116375,1.00959
366,0.692135,0.00191624,0.00169309,1.03611
368,0.439789,0.00173354,0.00127491,1.03116
370,0.751817,0.00341095,0.00626763,1.04113
372,0.548814,0.00137534,0.00221,1.04342
374,0.516137,0.00162585,0.0019092,1.06665
376,0.626225,0.00244744,0.00191475,1.02922
378,0.612799,0.00142748,0.00169893,1.02129
380,0.637218,0.00142111,0.00140089,1.01739
382,0.643318,0.00174214,0.00412385,1.0787
384,0.468972,0.00178632,0.00131911,1.09786
386,0.607508,0.00308301,0.00136404,1.08737
388,0.534372,0.00178256,0.00182561,1.10174
390,0.701828,0.00175701,0.00165203,1.0607
392,0.854188,0.00251754,0.00403528,1.11158
394,0.542792,0.0018478,0.00165136,1.08551
396,0.548616,0.00131046,0.00310621,1.0572
398,0.531249,0.00230767,0.00101967,1.05343
400,0.540372,0.00145083,0.000989376,1.04272
402,0.567336,0.000737402,0.000554323,1.08102
404,0.517619,0.00160138,0.00107808,1.06564
406,0.508235,0.00150176,0.0020153,1.14625
408,0.508235,0.00150176,0.0020153,1.14625
410,0.508235,0.00150176,0.0020153,1.14625
412,0.579435,0.00244336,0.00228085,1.10537
414,0.612394,0.00183043,0.00158215,1.11379
416,0.555129,0.00177755,0.00872529,1.12033
418,0.647826,0.00219394,0.00112393,1.1643
420,0.680189,0.00131516,0.00126424,1.12862
422,0.680655,0.00164274,0.00165662,1.11485
424,0.531505,0.00253278,0.00152259,1.09567
426,0.659708,0.00234788,0.000991001,1.07887
428,0.66232,0.00174808,0.00305415,1.11906
430,0.66232,0.00174808,0.00305415,1.11906
432,0.547524,0.000947275,0.000837216,1.07747
434,0.615931,0.00407607,0.00131819,1.12862
436,0.615931,0.00407607,0.00131819,1.12862
438,0.531381,0.00513071,0.00266273,1.04978
440,0.615637,0.0021204,0.00218438,1.05588
442,0.43998,0.00130671,0.000764442,1.01294
444,0.71173,0.00077544,0.00188107,1.0102
446,0.582904,0.000905214,0.000944396,0.997256
448,0.527864,0.000925703,0.000851941,0.99334
450,0.713261,0.00110918,0.000981307,1.02506
452,0.544287,0.0020591,0.00156871,1.03433
454,0.544287,0.0020591,0.00156871,1.03433
456,0.601717,0.00273927,0.00295924,1.059
458,0.609669,0.000633791,0.00113194,1.05263
460,0.616626,0.00384856,0.00216106,1.0631
462,0.506738,0.00183453,0.00139122,1.09627
464,0.486125,0.00253853,0.00439184,1.0809
466,0.530391,0.000822052,0.00133751,1.06397
468,0.588233,0.00237421,0.00144288,1.06701
470,0.588315,0.00306162,0.00446458,1.10879
472,0.564371,0.0009178,0.00183269,1.06901
474,0.510418,0.00415849,0.00316224,1.03609
476,0.56609,0.00100435,0.00130134,1.07472
478,0.611466,0.00198319,0.00234265,1.01563
480,0.645387,0.00110707,0.00089456,1.04084
482,0.672959,0.00113801,0.00160912,1.03846
484,0.552021,0.0011457,0.00145498,1.00828
486,0.610436,0.00300072,0.000915077,1.01356
488,0.467851,0.000996754,0.000863633,1.00687
490,0.579509,0.00171371,0.00161584,1.00617
492,0.531542,0.00121343,0.00114168,1.01737
494,0.675461,0.00202011,0.00171734,1.01758
496,0.636843,0.00544915,0.00285585,1.01154
498,0.649566,0.00118801,0.000838246,1.00591
500,0.658031,0.00246285,0.00140422,1.03433
