ReTr(L),ImTr(L)
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.456819,-0.339317
-0.239042,0.123694
0.322633,-0.0206364
-0.0119332,0.0992795
-0.158148,-0.0112955
0.290166,-0.084831
-0.0474924,0.150913
0.083007,-0.0621395
-0.124927,-0.121818
0.054391,-0.0479356
-0.088082,0.099464
-0.000587715,-0.0825235
-0.13702,-0.124026
-0.0318517,-0.064083
0.0226565,0.0640405
0.00733785,-0.00519445
0.154508,0.0514245
-0.093969,-0.198889
-0.0408963,0.00570735
-0.0937435,0.0109449
0.260103,-0.00736485
0.260103,-0.00736485
-0.174086,0.0613045
-0.0503735,0.0157305
0.067156,-0.068681
0.095804,-0.183575
-0.122792,0.196311
