MDTU,energy
2,768
4,768
6,768
8,768
10,768
12,768
14,768
16,768
18,768
20,768
22,768
24,768
26,768
28,768
30,768
32,768
34,768
36,768
38,768
40,768
42,768
44,768
46,768
48,768
50,768
52,768
54,768
56,768
58,768
60,768
62,768
64,768
66,768
68,768
70,768
72,768
74,768
76,768
78,768
80,768
82,768
84,768
86,768
88,768
90,768
92,768
94,768
96,768
98,768
100,768
102,768
104,768
106,768
108,768
110,768
112,768
114,768
116,768
118,768
120,768
122,768
124,768
126,768
128,768
130,768
132,768
134,768
136,768
138,768
140,768
142,768
144,768
146,768
148,768
150,768
152,233.187
154,233.187
156,233.187
158,233.187
160,233.187
162,233.187
164,233.187
166,233.187
168,233.187
170,233.187
172,233.187
174,233.187
176,233.187
178,233.187
180,233.187
182,233.187
184,233.187
186,233.187
188,233.187
190,233.187
192,233.187
194,233.187
196,233.187
198,233.187
200,233.187
202,233.187
204,233.187
206,233.187
208,233.187
210,233.187
212,233.187
214,233.187
216,233.187
218,233.187
220,233.187
222,233.187
224,233.187
226,233.187
228,233.187
230,233.187
232,233.187
234,233.187
236,233.187
238,233.187
240,233.187
242,233.187
244,233.187
246,233.187
248,233.187
250,233.187
252,233.187
254,233.187
256,233.187
258,233.187
260,233.187
262,233.187
264,233.187
266,233.187
268,233.187
270,233.187
272,233.187
274,233.187
276,233.187
278,233.187
280,233.187
282,233.187
284,233.187
286,233.187
288,233.187
290,233.187
292,233.187
294,233.187
296,233.187
298,233.187
300,233.187
302,233.187
304,233.187
306,233.187
308,233.187
310,233.187
312,233.187
314,233.187
316,233.187
318,233.187
320,233.187
322,233.187
324,233.187
326,233.187
328,233.187
330,233.187
332,233.187
334,233.187
336,233.187
338,233.187
340,233.187
342,233.187
344,233.187
346,233.187
348,233.187
350,233.187
352,233.187
354,233.187
356,233.187
358,233.187
360,233.187
362,233.187
364,233.187
366,233.187
368,233.187
370,233.187
372,233.187
374,233.187
376,233.187
378,233.187
380,233.187
382,233.187
384,233.187
386,233.187
388,233.187
390,233.187
392,233.187
394,233.187
396,233.187
398,233.187
400,233.187
402,233.187
404,233.187
406,233.187
408,233.187
410,233.187
412,233.187
414,233.187
416,233.187
418,233.187
420,233.187
422,233.187
424,233.187
426,233.187
428,233.187
430,233.187
432,233.187
434,233.187
436,233.187
438,233.187
440,233.187
442,233.187
444,233.187
446,233.187
448,233.187
450,233.187
